job_title_clean,industry_clean,position_ID
It Specialist,Computing Or Tech,3388
Solicitor,Law,3389
Operations Manager,Hospitality And Events,3390
Department Chair And Associate Professor,Education (Higher Education),3391
Human Resources Manager,Education (Primary/Secondary),3392
Senior environmental advisor,Mining,3393
Senior Business Analyst,Retail,3394
Library Sales Representative,Sales,3395
Circulation Specialist,Library,3396
Undergraduate Research Assistant,Health Care,3397
Senior Academic Advisor II,Education (Higher Education),3398
Human Resources Generalist,Property Or Construction,3399
Senior Litigation Paralegal,Law,3400
Creative Producer,Entertainment,3401
Revenue Accountant,Property Or Construction,3402
Stewardship Coordinator,Government And Public Administration,3403
Manager,Insurance,3404
Office Assistant,Computing Or Tech,3405
Finance Manager,Property Or Construction,3406
Senior Layout Specialist,Sales,3407
Head Of Library Public Services,Education (Higher Education),3408
senior sysadmin,Computing Or Tech,3409
Family Physician,Health Care,3410
Membership And Student Academy Specialist,Nonprofits,3411
Communications Officer,"Arts, Culture And Heritage",3412
Instructional Designer,Learning And Development,3413
Sales Associate,Sales,3414
Data Strategist,"Marketing, Advertising And Pr",3415
Medical Education Coordinator,Health Care,3416
Director Of Customer Service,Insurance,3417
Staff Accountant,Computing Or Tech,3418
Administrative Staff Assistant,Government And Public Administration,3419
Accounting Manager,Sales,3420
Lead Software Engineer,Engineering Or Manufacturing,3421
Director Of Archives And Special Collections,Education (Higher Education),3422
Finance Analyst,Computing Or Tech,3423
Teaching And Learning Librarian / Coordinator Of Reference Services,Education (Higher Education),3424
TAP Mentor Teacher,Education (Primary/Secondary),3425
Judicial Staff Attorney,Law,3426
Associate Software Engineer,Computing Or Tech,3427
Freelance Translator,Translation,3428
Mortgage Loan Processor,"Accounting, Banking And Finance",3429
Director Of Philanthropy,Nonprofits,3430
Site Support Analyst,Computing Or Tech,3431
Senior Technical Program Manager,Computing Or Tech,3432
Senior Manager,"Marketing, Advertising And Pr",3433
Senior Research Applications Developer,Government And Public Administration,3434
Writer,Health Care,3435
Co-General Manager,Cannabis,3436
Manager Of Strategic Partnerships,Health Care,3437
Implementation Consultant,Govtech Software As A Service,3438
Sr. Consulting,Business Or Consulting,3439
Regulatory Specialist,Government And Public Administration,3440
Product Marketing Team Lead,Engineering Or Manufacturing,3441
"Associate Director, Marketing Communications","Marketing, Advertising And Pr",3442
Clinical Nurse,Health Care,3443
Assistant To The Associate Superintendent,Education (Primary/Secondary),3444
Lab tech,Biological Research,3445
Hardware Engineer,Engineering Or Manufacturing,3446
Senior Counsel,Entertainment,3447
Transfer Agent,Property Or Construction,3448
Policy Researcher,Nonprofits,3449
Graphic Designer,"Accounting, Banking And Finance",3450
Management Consultant (public sector),Business Or Consulting,3451
Human Resources Business Partner/Vp,Property Or Construction,3452
"Vp, People",Recruitment Or Hr,3453
Administrative Contracting Officer,Government And Public Administration,3454
Customer Service Rep,Insurance,3455
Business Analyst-Intermediate,Health Care,3456
R&D Engineer,Engineering Or Manufacturing,3457
Senior Director of Development,Nonprofits,3458
Social Community Specialist,"Marketing, Advertising And Pr",3459
Director Of Operations,For Profit Education,3460
Accounting Manager,Engineering Or Manufacturing,3461
Senior Test Engineer,Engineering Or Manufacturing,3462
Global Learning And Development Leader,Engineering Or Manufacturing,3463
Archival Assistant,Government And Public Administration,3464
Sales Operations Manager,Business Or Consulting,3465
"Manager, Program Management",Computing Or Tech,3466
Audit Senior Associate,"Accounting, Banking And Finance",3467
SE,Computing Or Tech,3468
Finance Director,Media And Digital,3469
Digital Research Analyst,Media And Digital,3470
Instructional Designer (Corporate Training),Insurance,3471
Receptionist,Law,3472
visitor use assistant,Government And Public Administration,3473
Senior Systems Analyst,Education (Higher Education),3474
Regulatory Affairs Associate,Health Care,3475
Principal Programmer,Pharmaceutical,3476
Assistant Controller,Transport Or Logistics,3477
